gameid,Away,AwayID,Home,HomeID
479,DALLAS,10,CALGARY,2
480,ARIZONA,5,LOS ANGELES,4
481,COLORADO,9,BUFFALO,16
482,PHILADELPHIA,28,TORONTO,22
483,OTTAWA,20,MONTREAL,19
484,WASHINGTON,30,NEW JERSEY,25
485,TAMPA BAY,21,NY ISLANDERS,26
486,FLORIDA,18,PITTSBURGH,29
487,NY RANGERS,27,CAROLINA,23
488,CHICAGO,8,COLUMBUS,24
489,NASHVILLE,12,MINNESOTA,11
490,CALGARY,2,VANCOUVER,7
491,ST. LOUIS,13,SAN JOSE,6
492,COLORADO,9,DETROIT,17
493,DALLAS,10,EDMONTON,3
494,BUFFALO,16,BOSTON,15
495,CAROLINA,23,NY RANGERS,27
496,TORONTO,22,CHICAGO,8
497,PHILADELPHIA,28,WINNIPEG,14
498,OTTAWA,20,WASHINGTON,30
499,NASHVILLE,12,COLUMBUS,24
500,PITTSBURGH,29,FLORIDA,18
501,ARIZONA,5,VANCOUVER,7
502,SAN JOSE,6,ANAHEIM,1
503,CALGARY,2,LOS ANGELES,4
504,NASHVILLE,12,BOSTON,15
505,CAROLINA,23,NEW JERSEY,25
506,MONTREAL,19,NY ISLANDERS,26
507,WASHINGTON,30,NY RANGERS,27
508,PHILADELPHIA,28,MINNESOTA,11
509,TORONTO,22,DALLAS,10
510,BUFFALO,16,DETROIT,17
511,PITTSBURGH,29,TAMPA BAY,21
512,ARIZONA,5,EDMONTON,3
513,ST. LOUIS,13,COLORADO,9
514,WINNIPEG,14,CHICAGO,8
515,NY ISLANDERS,26,BUFFALO,16
516,DETROIT,17,OTTAWA,20
517,CAROLINA,23,TAMPA BAY,21
518,NEW JERSEY,25,NY RANGERS,27
519,BOSTON,15,COLUMBUS,24
520,WINNIPEG,14,MINNESOTA,11
521,WASHINGTON,30,PITTSBURGH,29
522,DALLAS,10,ST. LOUIS,13
523,PHILADELPHIA,28,NASHVILLE,12
524,ANAHEIM,1,ARIZONA,5
525,CHICAGO,8,COLORADO,9
526,EDMONTON,3,CALGARY,2
527,SAN JOSE,6,LOS ANGELES,4
528,TORONTO,22,FLORIDA,18
529,VANCOUVER,7,ANAHEIM,1
530,DETROIT,17,BOSTON,15
531,PITTSBURGH,29,NEW JERSEY,25
532,WASHINGTON,30,NY ISLANDERS,26
533,MONTREAL,19,CAROLINA,23
534,BUFFALO,16,OTTAWA,20
535,TORONTO,22,TAMPA BAY,21
536,COLORADO,9,ST. LOUIS,13
537,MINNESOTA,11,WINNIPEG,14
538,NASHVILLE,12,CHICAGO,8
539,NY RANGERS,27,DALLAS,10
540,LOS ANGELES,4,CALGARY,2
541,PHILADELPHIA,28,ARIZONA,5
542,MONTREAL,19,FLORIDA,18
543,ST. LOUIS,13,NASHVILLE,12
544,LOS ANGELES,4,EDMONTON,3
545,VANCOUVER,7,SAN JOSE,6
546,NY ISLANDERS,26,WINNIPEG,14
547,TAMPA BAY,21,BUFFALO,16
548,NY RANGERS,27,FLORIDA,18
549,TORONTO,22,BOSTON,15
550,CAROLINA,23,PITTSBURGH,29
551,MINNESOTA,11,COLUMBUS,24
552,NEW JERSEY,25,DETROIT,17
553,SAN JOSE,6,ANAHEIM,1
554,ARIZONA,5,DALLAS,10
555,PHILADELPHIA,28,COLORADO,9
556,EDMONTON,3,CALGARY,2
557,CHICAGO,8,WASHINGTON,30
558,LOS ANGELES,4,VANCOUVER,7
559,FLORIDA,18,BUFFALO,16
560,MONTREAL,19,NEW JERSEY,25
561,TAMPA BAY,21,PITTSBURGH,29
562,PHILADELPHIA,28,CAROLINA,23
563,TORONTO,22,MINNESOTA,11
564,EDMONTON,3,COLORADO,9
565,NY ISLANDERS,26,CALGARY,2
566,ST. LOUIS,13,ANAHEIM,1
567,OTTAWA,20,BOSTON,15
568,NASHVILLE,12,LOS ANGELES,4
569,PHILADELPHIA,28,NEW JERSEY,25
570,BUFFALO,16,NY RANGERS,27
571,MONTREAL,19,PITTSBURGH,29
572,TORONTO,22,WINNIPEG,14
573,MINNESOTA,11,DALLAS,10
574,COLUMBUS,24,ARIZONA,5
575,DETROIT,17,VANCOUVER,7
576,ST. LOUIS,13,SAN JOSE,6
577,BOSTON,15,CAROLINA,23
578,FLORIDA,18,WASHINGTON,30
579,TAMPA BAY,21,OTTAWA,20
580,DALLAS,10,CHICAGO,8
581,COLUMBUS,24,COLORADO,9
582,NASHVILLE,12,ANAHEIM,1
583,NY ISLANDERS,26,EDMONTON,3
584,SAN JOSE,6,WINNIPEG,14
585,BUFFALO,16,NEW JERSEY,25
586,OTTAWA,20,PHILADELPHIA,28
587,TAMPA BAY,21,MONTREAL,19
588,CAROLINA,23,NASHVILLE,12
589,SAN JOSE,6,MINNESOTA,11
590,COLORADO,9,CHICAGO,8
591,COLUMBUS,24,DALLAS,10
592,ST. LOUIS,13,ARIZONA,5
593,DETROIT,17,EDMONTON,3
594,NY ISLANDERS,26,VANCOUVER,7
595,WASHINGTON,30,TORONTO,22
596,BOSTON,15,PITTSBURGH,29
597,DETROIT,17,CALGARY,2
598,NY RANGERS,27,ANAHEIM,1
599,NEW JERSEY,25,BOSTON,15
600,WASHINGTON,30,PHILADELPHIA,28
601,BUFFALO,16,CAROLINA,23
602,SAN JOSE,6,ST. LOUIS,13
603,DALLAS,10,NASHVILLE,12
604,CHICAGO,8,MINNESOTA,11
